Store,Region,Zone,DOA,Area,LTL/New,Nature,Grading,Tier,Organization,StoreCode,StatusMyntra,StatusAmazon,StatusOmni,Language
BHANGEL,DELHI NCR,NORTH,######,8600,L2L,Fashion,NA,NA,Vmart,101053,0,0,1,Hindi
BHOJUBEER,UP5,UP,######,6250,L2L,Fashion,NA,NA,Vmart,101066,0,0,1,Hindi
BHOPAL,MP1,NORTH,######,8630,L2L,Composite,NA,NA,Vmart,9,0,0,0,Hindi
BHOPAL-BAIRAGARH,MP1,NORTH,29-Jun-20,7366,<1Yr,Fashion,NA,NA,Vmart,101345,0,0,0,Hindi
BHOPAL-KAROND,MP1,NORTH,######,10598,L2L,Composite,NA,NA,Vmart,101241,0,0,1,Hindi
BHOPAL-KOLAR ROAD,MP1,NORTH,######,7837,New,Fashion,NA,NA,Vmart,NA,0,0,0,#N/A
MALKAJGIRI,HYDERABAD,SOUTH,24-Sep-17,8589,New,Non Saral,NA,NA,Unlimited,101560,1,1,0,#N/A
BIRSA CHOWK-RANCHI,JHK1,EAST/JHK,26-Oct-16,14161,L2L,Composite,NA,NA,Vmart,101043,0,0,0,Hindi
BISALPUR-EIDGAH CHAURAHA,UP6,UP,######,5519,L2L,Fashion,NA,NA,Vmart,101233,0,0,0,Hindi
BISWANATH CHARIALI,NE,EAST/JHK,######,6149,L2L,Fashion,NA,NA,Vmart,101194,0,0,0,Assamese
BORING ROAD-PATNA,BIHAR 1,BIHAR,12-Oct-14,12600,L2L,Fashion,NA,NA,Vmart,100172,0,1,0,Hindi
BULANDSHAHR-RAJA BABU RD,DELHI NCR,NORTH,######,8200,L2L,Fashion,NA,NA,Vmart,101055,0,0,0,Hindi
BURDWAN,WB 1,EAST/JHK,12-Oct-15,9049,L2L,Fashion,NA,NA,Vmart,101005,0,0,0,Bangla
BURDWAN-NAZRUL PALLY,WB 1,EAST/JHK,25-Feb-22,9655,New,Composite,NA,NA,Vmart,NA,0,0,0,Bangla
BUXAR,BIHAR 1,BIHAR,######,9220,L2L,Fashion,NA,NA,Vmart,101054,0,0,0,Hindi
PARKLANE,HYDERABAD,SOUTH,######,9000,New,Saral,NA,NA,Unlimited,101565,1,1,0,#N/A
CANT ROAD,UP13,UP,01-Jul-15,8046,L2L,Fashion,NA,NA,Vmart,100999,0,0,1,Hindi
CHAAS,JHK2,EAST/JHK,######,11000,L2L,Fashion,NA,NA,Vmart,100110,0,1,0,Hindi
CHANDAUSI-BAHJOI ROAD,UP11,NORTH,######,6752,L2L-New,Fashion,NA,NA,Vmart,101346,0,0,0,Hindi
CHANDIGARH,"PUN, HP",NORTH,######,10000,L2L,Composite,NA,NA,Vmart,11,0,1,0,Hindi
CHHAPRA,BIHAR 1,BIHAR,19-Jun-12,5950,L2L,Fashion,NA,NA,Vmart,75,0,0,0,Hindi
CHHAPRA-BHAGWAN BAZAR,BIHAR 1,BIHAR,######,5417,<1Yr,Fashion,NA,NA,Vmart,101454,0,0,0,Hindi
SANTOSH NAGAR,HYDERABAD,SOUTH,02-Feb-18,11435,New,Non Saral,NA,NA,Unlimited,101566,1,1,0,#N/A
CHINHAT-LUCKNOW,UP13,UP,01-Jun-18,10250,L2L,Fashion,NA,NA,Vmart,101161,0,1,0,Hindi
CHITTORGARH-UDAIPUR ROAD,RAJASTHAN-2,NORTH,31-Jul-21,8232,New,Composite,NA,NA,Vmart,101476,0,0,0,Hindi
CHOWK,UP13,UP,######,10500,L2L,Composite,NA,NA,Vmart,76,0,0,0,Hindi
SARATH CITY MALL,HYDERABAD,SOUTH,######,7321,New,Saral,NA,NA,Unlimited,101567,1,0,0,#N/A
CHURCH ROAD,BIHAR 4,BIHAR,03-Jul-12,7500,L2L,Fashion,NA,NA,Vmart,74,0,0,0,Hindi
ASCENDUS,KAR,SOUTH,07-Oct-17,12230,New,Non Saral,NA,NA,Unlimited,101524,1,1,0,#N/A
BASAVESHWARNAGAR,KAR,SOUTH,17-Oct-15,9322,New,Saral,NA,NA,Unlimited,101522,1,0,0,#N/A
BEL ROAD,KAR,SOUTH,06-Oct-16,7032,New,Saral,NA,NA,Unlimited,101512,1,1,0,#N/A
COOCH BEHAR,WB 2,EAST/JHK,17-Oct-15,8759,L2L,Fashion,NA,NA,Vmart,101010,0,0,0,Bangla
CUTTACK,ODISHA,EAST/JHK,09-Sep-16,10850,L2L,Fashion,NA,NA,Vmart,101034,0,0,1,Odiya
DALANWALA-DEHRADUN,UP1,NORTH,######,9833,L2L,Fashion,NA,NA,Vmart,101159,0,0,1,Hindi
DALTONGANJ-REDMA CHOWK,JHK1,EAST/JHK,######,6611,L2L-New,Fashion,NA,NA,Vmart,101259,0,0,0,Hindi
BELLARY,KAR,SOUTH,24-Jan-18,10800,New,Non Saral,NA,NA,Unlimited,101514,0,0,0,#N/A
DARBHANGA,BIHAR 2,BIHAR,02-Jan-11,9370,L2L,Composite,NA,NA,Vmart,71,0,0,0,Hindi
DARBHANGA-DONAR,BIHAR 2,BIHAR,25-Sep-21,10000,New,Composite,NA,NA,Vmart,101574,0,0,0,Hindi
DAUD NAGAR,BIHAR 4,BIHAR,######,6595,L2L,Fashion,NA,NA,Vmart,101009,0,0,0,Hindi
BIJAPUR,KAR,SOUTH,21-Jul-18,8607,New,Non Saral,NA,NA,Unlimited,101518,0,0,0,#N/A
CANARA MALL,KAR,SOUTH,26-Jan-18,8292,New,Saral,NA,NA,Unlimited,101515,0,0,0,#N/A
CMH ROAD,KAR,SOUTH,######,9763,New,Saral,NA,NA,Unlimited,101582,1,0,0,#N/A
DEHRADUN,UP1,NORTH,15-Jun-13,7568,L2L,Fashion,NA,NA,Vmart,100053,0,0,0,Hindi
DEHRI ON SANE,BIHAR 4,BIHAR,10-Oct-21,8500,New,Composite,NA,NA,Vmart,101446,0,0,0,Hindi
DELHI-BURARI,DELHI NCR,NORTH,######,11467,New,Composite,NA,NA,Vmart,NA,0,0,0,#N/A
DELHI-DWARKA,DELHI NCR,NORTH,######,6180,New,Fashion,NA,NA,Vmart,101478,0,0,0,Hindi
DELHI-NARELA,DELHI NCR,NORTH,03-Oct-19,6656,L2L-New,Fashion,NA,NA,Vmart,101305,0,0,0,Hindi
DEOGHAR,JHK2,EAST/JHK,######,9500,L2L,Fashion,NA,NA,Vmart,100366,0,0,0,Hindi
DEORIA,UP4,UP,13-Oct-10,10317,L2L,Composite,NA,NA,Vmart,61,0,0,0,Hindi
DHANBAD-BANK MORE,JHK2,EAST/JHK,######,10405,L2L-New,Composite,NA,NA,Vmart,101250,0,0,0,Hindi
DHANBAD-BINOD BIHARI CHOWK,JHK2,EAST/JHK,######,10292,New,Composite,NA,NA,Vmart,NA,0,0,0,#N/A
DHANBAD-SARAIDHELLA,JHK2,EAST/JHK,######,6181,L2L-New,Fashion,NA,NA,Vmart,101306,0,0,0,Hindi
DHUBRI-GTB ROAD,WB 2,EAST/JHK,28-Apr-19,5721,L2L-New,Fashion,NA,NA,Vmart,101242,0,0,0,Assamese
DHULIYAN,WB 2,EAST/JHK,21-Sep-17,6571,L2L,Fashion,NA,NA,Vmart,101040,0,0,0,Bangla
DAVANAGERE MALL,KAR,SOUTH,14-Jan-17,6504,New,Saral,NA,NA,Unlimited,101523,0,0,0,#N/A
DAVANGERE,KAR,SOUTH,10-Apr-09,4650,New,Saral,NA,NA,Unlimited,101519,0,0,0,#N/A
DUMKA,JHK2,EAST/JHK,01-Oct-13,7600,L2L,Fashion,NA,NA,Vmart,100205,0,0,0,Hindi
DURGAKUND,UP5,UP,11-Sep-16,8682,L2L,Composite,NA,NA,Vmart,101036,0,0,0,Hindi
GT MALL,KAR,SOUTH,######,7843,New,Saral,NA,NA,Unlimited,101528,1,0,0,#N/A
ETAWAH,UP7,NORTH,10-Jul-15,8731,L2L,Composite,NA,NA,Vmart,100997,0,0,0,Hindi
FAIZABAD,UP9,UP,13-Jun-11,9936,L2L,Composite,NA,NA,Vmart,63,0,0,0,Hindi
FAIZABAD-NAKA,UP9,UP,25-Oct-21,9600,New,Fashion,NA,NA,Vmart,101482,0,0,0,Hindi
FARIDABAD-NIT,DELHI NCR,NORTH,25-Oct-21,10000,New,Composite,NA,NA,Vmart,101587,0,0,0,Hindi
FARRUKHABAD,UP6,UP,28-Jun-14,8288,L2L,Fashion,NA,NA,Vmart,100630,0,0,0,Hindi
FATHEPUR,UP10,UP,05-Oct-13,7500,L2L,Fashion,NA,NA,Vmart,100111,0,0,0,Hindi
FIROZABAD,UP7,NORTH,######,9527,L2L,Fashion,NA,NA,Vmart,100744,0,1,0,Hindi
HOSUR,KAR,SOUTH,15-Oct-15,14093,New,Non Saral,NA,NA,Unlimited,101536,0,0,0,#N/A
HSR,KAR,SOUTH,######,11560,New,Saral,NA,NA,Unlimited,101525,1,1,0,#N/A
GANDHIDHAM,GUJRAT,NORTH,01-Oct-08,6000,L2L,Fashion,NA,NA,Vmart,34,0,0,0,Gujarati
GARHWA,JHK1,EAST/JHK,29-Oct-18,7585,L2L,Fashion,NA,NA,Vmart,101142,0,0,0,Hindi
GAURIGANJ,UP10,UP,######,9196,L2L,Composite,NA,NA,Vmart,101133,0,0,0,Hindi
GAZIPUR,UP3,UP,03-Jul-10,10660,L2L,Composite,NA,NA,Vmart,58,0,1,0,Hindi
GIRIDIH,JHK2,EAST/JHK,######,8700,L2L,Fashion,NA,NA,Vmart,100140,0,0,0,Hindi
GODDA-RAUTARA CHOWK,JHK2,EAST/JHK,30-Jun-21,7281,New,Fashion,NA,NA,Vmart,101462,0,0,0,Hindi
GONDA,UP9,UP,27-Oct-08,7356,L2L,Composite,NA,NA,Vmart,32,0,0,1,Hindi
GONDA-STATION ROAD,UP9,UP,27-Oct-08,7356,L2L,Fashion,NA,NA,Vmart,101612,0,0,0,Hindi
GOPALGANJ,BIHAR 2,BIHAR,######,10143,L2L,Composite,NA,NA,Vmart,100504,0,0,0,Hindi
GORAKHPUR,UP4,UP,######,8800,L2L,Composite,NA,NA,Vmart,27,0,0,0,Hindi
GORAKHPUR-MEDICAL COLLEGE,UP4,UP,12-Jun-19,8626,L2L-New,Composite,NA,NA,Vmart,101263,0,1,0,Hindi
KAMMANAHALLI,KAR,SOUTH,28-Jun-14,11797,New,Non Saral,NA,NA,Unlimited,101527,1,1,0,#N/A
GUMLA,JHK1,EAST/JHK,######,6867,L2L,Fashion,NA,NA,Vmart,101090,0,0,0,Hindi
MALL OF MYSORE,KAR,SOUTH,######,11671,New,Saral,NA,NA,Unlimited,101511,1,0,0,#N/A
GURDASPUR,"PUN, HP",NORTH,01-Sep-07,6500,L2L,Composite,NA,NA,Vmart,21,0,0,0,Hindi
GURUGRAM-BADSHAHPUR,DELHI NCR,NORTH,######,11550,New,Composite,NA,NA,Vmart,NA,0,0,0,#N/A
GWALIOR-LASHKAR,MP2,NORTH,16-Jun-19,7023,L2L-New,Fashion,NA,NA,Vmart,101253,0,0,1,Hindi
GWALIOR-OPPO. FILMISTAN,MP2,NORTH,19-Oct-19,5351,L2L-New,Fashion,NA,NA,Vmart,101322,0,0,0,Hindi
GWALIOR-SURYA NAGAR,MP2,NORTH,######,7441,L2L-New,Fashion,NA,NA,Vmart,101249,0,0,0,Hindi
NAGARBHAVI,KAR,SOUTH,06-Apr-18,8355,New,Non Saral,NA,NA,Unlimited,101517,1,1,1,#N/A
HAJIPUR,BIHAR 1,BIHAR,13-Oct-15,7727,L2L,Fashion,NA,NA,Vmart,101013,0,0,0,Hindi
HALDWANI,UP1,NORTH,######,10812,L2L,Composite,NA,NA,Vmart,100109,0,0,1,Hindi
HAMIRPUR,UP12,UP,26-Feb-18,6339,L2L,Fashion,NA,NA,Vmart,101141,0,0,0,Hindi
HARDOI-LUCKNOW ROAD,UP6,UP,18-Oct-19,9782,L2L-New,Composite,NA,NA,Vmart,101125,0,0,0,Hindi
HARIDWAR,UP1,NORTH,07-Sep-13,7300,L2L,Fashion,NA,NA,Vmart,100173,0,0,0,Hindi
HARIDWAR-SHIVALIK NAGAR,UP1,NORTH,18-Feb-22,9091,New,Composite,NA,NA,Vmart,NA,0,0,0,#N/A
HATHRAS,UP7,NORTH,23-Jul-14,5208,L2L,Fashion,NA,NA,Vmart,100645,0,0,0,Hindi
HIRAPUR,JHK2,EAST/JHK,26-Sep-14,8650,L2L,Fashion,NA,NA,Vmart,100745,0,0,0,Hindi
RAMAMURTHY NAGAR,KAR,SOUTH,14-Jun-08,7300,New,Saral,NA,NA,Unlimited,101509,1,1,0,#N/A
SAHAKARA NAGAR,KAR,SOUTH,######,14467,New,Non Saral,NA,NA,Unlimited,101510,1,1,1,#N/A
HUSAINABAD-JAUNPUR,UP3,UP,24-Jun-17,5455,L2L,Fashion,NA,NA,Vmart,101069,0,0,0,Hindi
HUSSAINGANJ,UP13,UP,######,10000,L2L,Fashion,NA,NA,Vmart,100822,0,0,0,Hindi
INDORE-SAPNA SANGEETA,MP2,NORTH,27-Jan-20,6522,L2L-New,Fashion,NA,NA,Vmart,101342,0,0,0,Hindi
ITANAGAR,NE,EAST/JHK,01-Oct-19,13300,L2L-New,Composite,NA,NA,Vmart,101187,0,0,0,English
JABALPUR-DAMOHNAKA,MP1,NORTH,13-Oct-19,8540,L2L-New,Fashion,NA,NA,Vmart,101315,0,0,0,Hindi
JAIPUR-BARKAT NAGAR,RAJASTHAN-1,NORTH,######,6535,L2L-New,Fashion,NA,NA,Vmart,101338,0,0,0,Hindi
JAIPUR-CHITRAKOOT,RAJASTHAN-1,NORTH,######,7081,L2L-New,Fashion,NA,NA,Vmart,101347,0,0,0,Hindi
JAIPUR-JHOTWARA,RAJASTHAN-1,NORTH,27-Jul-19,9029,L2L-New,Fashion,NA,NA,Vmart,101280,0,0,0,Hindi
JAIPUR-NSR,RAJASTHAN-1,NORTH,######,8650,<1Yr,Fashion,NA,NA,Vmart,101453,0,0,0,Hindi
JAIPUR-PRATAP NAGAR,RAJASTHAN-1,NORTH,######,7416,L2L-New,Fashion,NA,NA,Vmart,101348,0,0,0,Hindi
JAIPUR-SIRSI ROAD,RAJASTHAN-1,NORTH,14-Oct-20,7550,<1Yr,Fashion,NA,NA,Vmart,101371,0,0,0,Hindi
JAIPUR-SUBHASH CHOWK,RAJASTHAN-1,NORTH,11-Oct-20,7016,<1Yr,Fashion,NA,NA,Vmart,101353,0,0,0,Hindi
JALANDHAR,"PUN, HP",NORTH,######,9888,L2L,Fashion,NA,NA,Vmart,12,0,1,0,Hindi
JALPAIGURI,WB 2,EAST/JHK,24-Sep-16,11592,L2L,Fashion,NA,NA,Vmart,101033,0,0,1,Bangla
JAMALPUR,BIHAR 3,BIHAR,23-Oct-16,7800,L2L,Fashion,NA,NA,Vmart,101041,0,0,1,Hindi
JAMMU,J&K,NORTH,22-Apr-18,9581,L2L,Fashion,NA,NA,Vmart,101147,0,0,0,Hindi
JAMMU-JANIPUR,J&K,NORTH,05-Oct-19,11000,L2L-New,Composite,NA,NA,Vmart,101316,0,0,1,Hindi
JAMMU-KUNJWANI,J&K,NORTH,04-Apr-19,9800,L2L-New,Fashion,NA,NA,Vmart,101243,0,0,0,Hindi
JAMMU-TALAB TILLO,J&K,NORTH,25-Oct-19,8000,L2L-New,Fashion,NA,NA,Vmart,101299,0,0,0,Hindi
JAMNAGAR,GUJRAT,NORTH,######,5000,L2L,Fashion,NA,NA,Vmart,72,0,0,0,Gujarati
JAMSHEDPUR-SAKCHI AMBAGAN,JHK1,EAST/JHK,######,9636,L2L,Composite,NA,NA,Vmart,101145,0,0,0,Hindi
JAMTARA,JHK2,EAST/JHK,26-Oct-17,7000,Closed,Fashion,NA,NA,Vmart,101044,0,0,0,Hindi
JAMUI,BIHAR 4,BIHAR,######,8139,L2L,Fashion,NA,NA,Vmart,101014,0,0,0,Hindi
JAUNPUR,UP3,UP,30-Oct-10,9242,L2L,Composite,NA,NA,Vmart,60,0,0,1,Hindi
JEHANABAD-STATION ROAD,BIHAR 4,BIHAR,13-Feb-19,7138,L2L,Fashion,NA,NA,Vmart,101211,0,0,0,Hindi
JHANGIRABAD-BHOPAL,MP1,NORTH,21-Jan-19,9913,L2L,Fashion,NA,NA,Vmart,101210,0,0,0,Hindi
JHANSI,UP12,UP,24-Oct-13,7200,L2L,Fashion,NA,NA,Vmart,100050,0,0,1,Hindi
JHARSUGUDA,ODISHA,EAST/JHK,######,10103,L2L,Fashion,NA,NA,Vmart,101023,0,0,0,Odiya
JORHAT,NE,EAST/JHK,09-Oct-18,10000,L2L,Fashion,NA,NA,Vmart,101184,0,0,0,Assamese
JOWAI,NE,EAST/JHK,26-Oct-18,10049,L2L,Fashion,NA,NA,Vmart,101189,0,0,0,English
