Store,Region,Zone,DOA,Area,LTL/New,Nature,Grading,Tier,Organization,StoreCode,StatusMyntra,StatusAmazon,StatusOmni,Language
KACHI CHAWNI,J&K,NORTH,22-Sep-18,9700,L2L,Fashion,NA,NA,Vmart,101151,0,0,0,Hindi
TUMKUR,KAR,SOUTH,11-Oct-14,14582,New,Non Saral,NA,NA,Unlimited,101521,0,0,0,#N/A
KAHALGOAN,BIHAR 3,BIHAR,05-Apr-19,6481,L2L-New,Fashion,NA,NA,Vmart,101227,0,0,0,Hindi
VAISHNAVI SAPPHIRE,KAR,SOUTH,16-Sep-17,8033,New,Saral,NA,NA,Unlimited,101513,1,1,0,#N/A
KALAPAHAR-GUWAHATI,NE,EAST/JHK,02-Sep-18,8229,L2L,Fashion,NA,NA,Vmart,101176,0,0,0,Assamese
VASCO,KAR,SOUTH,23-Feb-18,12285,New,Non Saral,NA,NA,Unlimited,101507,0,0,0,#N/A
KANKARBAGH-PATNA,BIHAR 1,BIHAR,26-Feb-19,8433,L2L,Fashion,NA,NA,Vmart,101230,0,0,0,Hindi
KANNAUJ,UP2,UP,######,7553,L2L,Fashion,NA,NA,Vmart,101129,0,0,0,Hindi
KANPUR,UP2,UP,25-Oct-08,7000,L2L,Fashion,NA,NA,Vmart,38,0,0,0,Hindi
KANPUR-BARRA,UP2,UP,05-Jul-21,8498,New,Composite,NA,NA,Vmart,101468,0,0,0,Hindi
KANPUR-KALYANPUR,UP2,UP,23-Oct-19,10151,L2L-New,Composite,NA,NA,Vmart,101317,0,0,0,Hindi
KANPUR-P ROAD,UP2,UP,31-Jan-20,5600,L2L-New,Fashion,NA,NA,Vmart,101341,0,0,0,Hindi
KANPUR-YASHODA NAGAR,UP2,UP,26-Jul-21,6399,New,Fashion,NA,NA,Vmart,101480,0,0,0,Hindi
KARWI-CHITRAKOOT,UP12,UP,######,5453,<1Yr,Fashion,NA,NA,Vmart,101452,0,0,0,Hindi
KASHIPUR,UP1,NORTH,######,7272,L2L,Fashion,NA,NA,Vmart,100523,0,0,0,Hindi
KATHUA,J&K,NORTH,######,6861,L2L,Fashion,NA,NA,Vmart,101059,0,0,0,Hindi
KATIHAR-MIRCHAIBARI,BIHAR 3,BIHAR,######,12395,New,Composite,NA,NA,Vmart,101472,0,0,0,Hindi
KATIHAR-NEW MARKET,BIHAR 3,BIHAR,18-Oct-20,5740,<1Yr,Composite,NA,NA,Vmart,101328,0,0,0,Hindi
KEONJHAR,ODISHA,EAST/JHK,30-Oct-15,5897,L2L,Fashion,NA,NA,Vmart,101002,0,0,0,Odiya
KHAGARIA,BIHAR 2,BIHAR,21-Oct-17,8532,L2L,Fashion,NA,NA,Vmart,101058,0,0,0,Hindi
KHALILABAD,UP4,UP,30-Oct-15,9974,L2L,Composite,NA,NA,Vmart,101007,0,0,0,Hindi
VIDYARANYAPURA,KAR,SOUTH,06-Apr-18,10099,New,Saral,NA,NA,Unlimited,101516,1,0,1,#N/A
KHARAGPUR,WB 1,EAST/JHK,14-Sep-17,8366,L2L,Fashion,NA,NA,Vmart,101039,0,0,0,Bangla
KHARUPETIA-PANBARI ROAD,NE,EAST/JHK,######,6019,L2L-New,Fashion,NA,NA,Vmart,101252,0,0,0,Assamese
KISHANGANJ,BIHAR 3,BIHAR,######,8770,L2L,Fashion,NA,NA,Vmart,100811,0,0,0,Hindi
FORUM MALL,KAR,SOUTH,21-Aug,19289,NA,Non Saral,0,0,Unlimited,101520,0,0,0,#N/A
KOLKATA-BARASAT,WB 1,EAST/JHK,18-Sep-19,9002,NA,Fashion,NA,NA,Vmart,101318,0,0,1,Bangla
KOTA,RAJASTHAN-2,NORTH,18-Oct-08,8850,NA,Composite,NA,NA,Vmart,33,0,0,0,Hindi
KOTA-KUNADI,RAJASTHAN-2,NORTH,21-Oct-19,8272,NA,Fashion,NA,NA,Vmart,101298,0,0,0,Hindi
